iter	Passed	Remaining
1382	9767	4357
1383	9773	4350
1384	9780	4342
1385	9787	4335
1386	9794	4328
1387	9800	4321
1388	9808	4314
1389	9815	4307
1390	9822	4300
1391	9829	4293
1392	9836	4286
1393	9843	4279
1394	9850	4271
1395	9857	4264
1396	9865	4258
1397	9872	4251
1398	9879	4243
1399	9886	4237
1400	9893	4229
1401	9900	4223
1402	9907	4215
1403	9914	4208
1404	9920	4201
1405	9927	4193
1406	9934	4187
1407	9941	4179
1408	9948	4172
1409	9954	4165
1410	9961	4158
1411	9967	4150
1412	9974	4143
1413	9981	4136
1414	9987	4129
1415	9994	4121
1416	10001	4114
1417	10007	4107
1418	10014	4100
1419	10020	4093
1420	10027	4085
1421	10035	4078
1422	10041	4071
1423	10048	4064
1424	10054	4057
1425	10061	4050
1426	10068	4042
1427	10075	4035
1428	10081	4028
1429	10088	4021
1430	10095	4014
1431	10101	4006
1432	10108	3999
1433	10115	3992
1434	10122	3985
1435	10129	3978
1436	10135	3971
1437	10142	3963
1438	10149	3956
1439	10155	3949
1440	10163	3942
1441	10169	3935
1442	10176	3928
1443	10186	3922
1444	10194	3915
1445	10201	3908
1446	10207	3901
1447	10214	3894
1448	10221	3886
1449	10228	3879
1450	10235	3872
1451	10241	3865
1452	10249	3858
1453	10255	3851
1454	10262	3844
1455	10269	3836
1456	10275	3829
1457	10282	3822
1458	10289	3815
1459	10295	3808
1460	10302	3800
1461	10308	3793
1462	10315	3786
1463	10321	3778
1464	10328	3771
1465	10334	3764
1466	10341	3757
1467	10348	3750
1468	10355	3743
1469	10364	3736
1470	10370	3729
1471	10378	3722
1472	10384	3715
1473	10392	3708
1474	10399	3701
1475	10406	3694
1476	10413	3687
1477	10420	3680
1478	10427	3673
1479	10434	3666
1480	10441	3659
1481	10448	3652
1482	10455	3644
1483	10462	3637
1484	10469	3630
1485	10476	3623
1486	10483	3616
1487	10489	3609
1488	10497	3602
1489	10503	3595
1490	10510	3588
1491	10517	3580
1492	10524	3573
1493	10531	3566
1494	10538	3559
1495	10545	3552
1496	10552	3545
1497	10559	3538
1498	10565	3531
1499	10572	3524
1500	10579	3517
1501	10586	3510
1502	10593	3503
1503	10599	3495
1504	10606	3488
1505	10613	3481
1506	10620	3474
1507	10628	3467
1508	10634	3460
1509	10642	3453
1510	10649	3446
1511	10656	3439
1512	10663	3432
1513	10669	3425
1514	10676	3417
1515	10683	3410
1516	10689	3403
1517	10695	3396
1518	10702	3389
1519	10709	3381
1520	10715	3374
1521	10722	3367
1522	10728	3360
1523	10734	3352
1524	10741	3345
1525	10747	3338
1526	10754	3331
1527	10760	3324
1528	10767	3316
1529	10773	3309
1530	10780	3302
1531	10786	3295
1532	10792	3287
1533	10799	3280
1534	10805	3273
1535	10811	3266
1536	10818	3258
1537	10825	3251
1538	10831	3244
1539	10838	3237
1540	10845	3230
1541	10851	3223
1542	10858	3216
1543	10865	3208
1544	10871	3201
1545	10878	3194
1546	10884	3187
1547	10891	3180
1548	10897	3172
1549	10904	3165
1550	10910	3158
1551	10917	3151
1552	10924	3144
1553	10930	3137
1554	10936	3129
1555	10943	3122
1556	10949	3115
1557	10956	3108
1558	10964	3101
1559	10971	3094
1560	10980	3088
1561	10988	3081
1562	10995	3074
1563	11002	3067
1564	11010	3060
1565	11018	3053
1566	11025	3046
1567	11033	3039
1568	11041	3033
1569	11049	3026
1570	11057	3019
1571	11064	3012
1572	11072	3005
1573	11080	2998
1574	11088	2992
1575	11095	2985
1576	11103	2978
1577	11110	2971
1578	11118	2964
1579	11124	2957
1580	11131	2949
1581	11138	2943
1582	11145	2935
1583	11152	2929
1584	11159	2921
1585	11167	2915
1586	11178	2909
1587	11191	2903
1588	11200	2896
1589	11208	2890
1590	11215	2883
1591	11222	2876
1592	11229	2869
1593	11237	2862
