iter	Passed	Remaining
959	7507	312
960	7513	304
961	7526	297
962	7543	289
963	7558	282
964	7563	274
965	7576	266
966	7583	258
967	7589	250
968	7595	242
969	7601	235
970	7620	227
971	7626	219
972	7636	211
973	7651	204
974	7669	196
975	7675	188
976	7682	180
977	7697	173
978	7703	165
979	7708	157
980	7744	150
981	7760	142
982	7766	134
983	7773	126
984	7780	118
985	7787	110
986	7793	102
987	7805	94
988	7820	86
989	7826	79
990	7833	71
991	7839	63
992	7845	55
993	7850	47
994	7856	39
995	7862	31
996	7867	23
997	7873	15
998	7879	7
999	7885	0
